nombre
ADMINISTRACIÓN DE EMPRESAS Y DERECHO
AGRICULTURA, SILVICULTURA, PESCA Y VETERINARIA
ARTES Y HUMANIDADES
CIENCIAS NATURALES, MATEMÁTICAS Y ESTADÍSTICA
CIENCIAS SOCIALES, PERIODISMO E INFORMACIÓN
EDUCACIÓN
INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN
SALUD Y BIENESTAR
SERVICIOS
TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN
