genero,total,id_ies,,,
MUJERES,4,61,,,
MUJERES,5,61,,,
MUJERES,1,61,,,
MUJERES,5,61,,,
MUJERES,1,61,,,
MUJERES,1,61,,,
MUJERES,1,61,,,
MUJERES,3,61,,,
MUJERES,1,61,,,
MUJERES,6,61,,,
MUJERES,5,61,,,
MUJERES,9,61,,,
MUJERES,5,61,,,
MUJERES,3,61,,,
MUJERES,8,61,,,
MUJERES,6,61,,,
MUJERES,8,61,,,
MUJERES,2,61,,,
