Id,nombre,id_area,tipo_formación,id_nivel
124,COMERCIO EXTERIOR INTEGRACIÓN Y ADUANAS,1,Tercer Nivel,2
125,COMERCIO EXTERIOR Y FINANZAS,1,Tercer Nivel,2
126,COMERCIO EXTERIOR Y NEGOCIACIÓN INTERNACIONAL,1,Tercer Nivel,2
127,COMERCIO EXTERIOR Y NEGOCIOS INTERNACIONALES,1,Tercer Nivel,2
128,COMERCIO INTERNACIONAL,1,Tercer Nivel,2
129,COMERCIO Y FINANZAS INTERNACIONALES,1,Tercer Nivel,2
130,COMERCIO Y MARKETING,1,Tercer Nivel,2
131,COMPUTACIÓN,10,Tercer Nivel,2
132,COMUNICACIÓN,5,Tercer Nivel,2
133,COMUNICACIÓN AMBIENTAL,5,Tercer Nivel,2
134,COMUNICACIÓN AUDIOVISUAL,5,Tercer Nivel,2
135,COMUNICACIÓN AUDIOVISUAL Y MULTIMEDIA,5,Tercer Nivel,2
136,COMUNICACIÓN CON MENCIÓN EN COMUNICACIÓN ORGANIZACIONAL,5,Tercer Nivel,2
137,COMUNICACIÓN CON MENCIÓN EN COMUNICACIÓN Y LITERATURA,3,Tercer Nivel,2
138,COMUNICACIÓN CON MENCIÓN EN PERIODISMO PARA PRENSA RADIO Y TELEVISIÓN,5,Tercer Nivel,2
139,COMUNICACIÓN CORPORATIVA,5,Tercer Nivel,2
140,COMUNICACIÓN ESCÉNICA,5,Tercer Nivel,2
141,COMUNICACIÓN ORGANIZACIONAL,5,Tercer Nivel,2
142,COMUNICACIÓN SOCIAL,5,Tercer Nivel,2
143,COMUNICACIÓN SOCIAL CON MENCIÓN EN DESARROLLO,5,Tercer Nivel,2
144,COMUNICACIÓN SOCIAL CON MENCIÓN EN MARKETING Y GESTIÓN EMPRESARIAL,5,Tercer Nivel,2
145,COMUNICACIÓN SOCIAL CON MENCIÓN EN REDACCIÓN Y CREATIVIDAD ESTRATÉGICA,5,Tercer Nivel,2
146,COMUNICACIÓN SOCIAL CON MENCIÓN EN RELACIONES PUBLICAS Y COMUNICACIÓN ORGANIZACIONAL,5,Tercer Nivel,2
147,COMUNICACIÓN SOCIAL EN COMUNICACIÓN ORGANIZACIONAL Y RELACIONES PUBLICAS,5,Tercer Nivel,2
148,COMUNICACIÓN SOCIAL EN PERIODISMO,5,Tercer Nivel,2
149,COMUNICACIÓN SOCIAL EN PUBLICIDAD Y DISEÑO GRAFICO,5,Tercer Nivel,2
150,CONTABILIDAD,1,Tercer Nivel,2
151,CONTABILIDAD SUPERIOR,1,Tercer Nivel,2
152,CONTABILIDAD SUPERIOR Y AUDITORIA CPA,1,Tercer Nivel,2
153,CONTABILIDAD Y AUDITORIA,1,Tercer Nivel,2
154,CONTABILIDAD Y AUDITORÍA CP,1,Tercer Nivel,2
155,CONTABILIDAD Y AUDITORÍA CPA,1,Tercer Nivel,2
156,CONTADURÍA PÚBLICA AUTORIZADA,1,Tercer Nivel,2
157,CONTADURÍA PÚBLICA E INGENIERÍA EN CONTABILIDAD Y AUDITORIA,1,Tercer Nivel,2
158,CONTADURÍA PÚBLICA Y AUDITORIA,1,Tercer Nivel,2
159,CONTADURÍA PÚBLICA Y AUDITORIA CPA,1,Tercer Nivel,2
160,CONTADURÍA PÚBLICA Y CONTABILIDAD Y AUDITORIA,1,Tercer Nivel,2
161,COSMIATRÍA TERAPIAS HOLÍSTICAS E IMAGEN INTEGRAL,3,Tercer Nivel,2
162,CREACIÓN TEATRAL,3,Tercer Nivel,2
163,CULTURA FÍSICA,6,Tercer Nivel,2
164,DANZA,3,Tercer Nivel,2
165,DANZA - TEATRO,3,Tercer Nivel,2
166,DERECHO,1,Tercer Nivel,2
167,DERECHO ÉNFASIS DERECHOS HUMANOS Y CIENCIAS PENALES,1,Tercer Nivel,2
168,DERECHO ÉNFASIS GOBERNABILIDAD Y GERENCIA POLÍTICA,1,Tercer Nivel,2
169,DERECHO ÉNFASIS LEGISLACIÓN DE RECURSOS NATURALES Y MEDIO AMBIENTE,1,Tercer Nivel,2
170,DERECHO ÉNFASIS LEGISLACIÓN EMPRESARIAL Y TRIBUTARIA,1,Tercer Nivel,2
171,DESARROLLO SOCIAL Y CULTURAL,5,Tercer Nivel,2
172,DIETÉTICA Y NUTRICIÓN,8,Tercer Nivel,2
173,DIPLOMACIA Y RELACIONES INTERNACIONALES,5,Tercer Nivel,2
174,DISEÑO,3,Tercer Nivel,2
175,DISEÑO COMUNICACIONAL,3,Tercer Nivel,2
176,DISEÑO DE ESPACIOS ARQUITECTÓNICOS,3,Tercer Nivel,2
177,DISEÑO DE INTERIORES,3,Tercer Nivel,2
178,DISEÑO DE MODAS,3,Tercer Nivel,2
179,DISEÑO DE OBJETOS,3,Tercer Nivel,2
180,DISEÑO DE PRODUCTOS,3,Tercer Nivel,2
181,DISEÑO DE PRODUCTOS Y CONTROL DE PROCESOS,3,Tercer Nivel,2
182,DISEÑO DIGITAL Y MULTIMEDIA,10,Tercer Nivel,2
183,DISEÑO GRAFICO,3,Tercer Nivel,2
184,DISEÑO GRÁFICO COMPUTARIZADO,3,Tercer Nivel,2
185,DISEÑO GRÁFICO INDUSTRIAL,3,Tercer Nivel,2
186,DISEÑO GRÁFICO PUBLICITARIO,3,Tercer Nivel,2
187,DISEÑO GRÁFICO Y COMUNICACIÓN VISUAL,3,Tercer Nivel,2
188,DISEÑO GRÁFICO Y CONTROL DE PROCESOS,3,Tercer Nivel,2
189,DISEÑO GRÁFICO Y MULTIMEDIA,3,Tercer Nivel,2
190,DISEÑO PROFESIONAL CON MENCIÓN EN DISEÑO DE PRODUCTOS,3,Tercer Nivel,2
191,DISEÑO PROFESIONAL CON MENCIÓN EN DISEÑO GRÁFICO Y COMUNICACIÓN VISUAL,3,Tercer Nivel,2
192,DISEÑO TEXTIL E INDUMENTARIA,3,Tercer Nivel,2
193,ECOLOGÍA APLICADA,9,Tercer Nivel,2
194,ECONOMÍA,5,Tercer Nivel,2
195,ECONOMÍA AGRÍCOLA,5,Tercer Nivel,2
196,ECONOMÍA AGROPECUARIA,5,Tercer Nivel,2
197,ECONOMÍA CON MENCIÓN EN ECONOMÍA INTERNACIONAL Y GESTIÓN DE COMERCIO EXTERIOR,5,Tercer Nivel,2
198,ECONOMÍA ÉNFASIS ECONOMÍA EMPRESARIAL,5,Tercer Nivel,2
199,ECONOMÍA MENCIÓN ECONOMÍA EMPRESARIAL Y NEGOCIOS,5,Tercer Nivel,2
200,ECONOMÍA MENCIÓN EN GESTIÓN EMPRESARIAL,5,Tercer Nivel,2
201,ECONOMÍA Y FINANZAS,5,Tercer Nivel,2
202,ECOSISTEMAS,4,Tercer Nivel,2
203,ECOTURISMO,9,Tercer Nivel,2
204,EDUCACIÓN,6,Tercer Nivel,2
205,EDUCACIÓN BÁSICA,6,Tercer Nivel,2
206,EDUCACIÓN ESPECIAL,6,Tercer Nivel,2
207,EDUCACIÓN INICIAL,6,Tercer Nivel,2
208,EDUCACIÓN INICIAL BILINGÜE CON MENCIÓN EN GESTIÓN Y ADMINISTRACIÓN DE CENTROS INFANTILES,6,Tercer Nivel,2
209,EDUCACIÓN INTERCULTURAL BILINGÜE,6,Tercer Nivel,2
210,EDUCACIÓN PRIMARIA,6,Tercer Nivel,2
211,EDUCADORES DE PÁRVULOS,6,Tercer Nivel,2
212,ELECTRICIDAD,7,Tercer Nivel,2
213,ELECTRÓNICA Y AUTOMATIZACIÓN,7,Tercer Nivel,2
214,ELECTRÓNICA Y TELECOMUNICACIONES,7,Tercer Nivel,2
215,EMERGENCIAS MEDICAS,8,Tercer Nivel,2
216,EMPRENDIMIENTO,1,Tercer Nivel,2
217,EMPRESAS,1,Tercer Nivel,2
218,EMPRESAS TURÍSTICAS Y HOTELERAS,9,Tercer Nivel,2
219,EMPRESAS Y NEGOCIOS,1,Tercer Nivel,2
220,ENFERMERÍA,8,Tercer Nivel,2
221,ESTADÍSTICA,4,Tercer Nivel,2
222,ESTIMULACIÓN TEMPRANA,8,Tercer Nivel,2
223,ESTUDIOS INTERNACIONALES MENCIÓN COMERCIO EXTERIOR,5,Tercer Nivel,2
224,FILOSOFÍA,3,Tercer Nivel,2
225,FILOSOFÍA Y PEDAGOGÍA,3,Tercer Nivel,2
226,FINANZAS,1,Tercer Nivel,2
227,FINANZAS INTERNACIONALES,1,Tercer Nivel,2
228,FINANZAS Y AUDITORIA,1,Tercer Nivel,2
229,FINANZAS Y AUDITORIA CPA,1,Tercer Nivel,2
230,FINANZAS Y RELACIONES COMERCIALES,1,Tercer Nivel,2
231,FÍSICA,4,Tercer Nivel,2
232,FISIOTERAPIA,8,Tercer Nivel,2
233,FONOAUDIOLOGÍA,8,Tercer Nivel,2
234,FRANCISCANISMO,3,Tercer Nivel,2
235,GASTRONOMÍA,9,Tercer Nivel,2
236,GEOCIENCIAS,4,Tercer Nivel,2
237,GEOLOGÍA,4,Tercer Nivel,2
238,GEOLOGÍA Y MINAS,4,Tercer Nivel,2
239,GERENCIA Y LIDERAZGO,1,Tercer Nivel,2
240,GESTIÓN ADMINISTRATIVA,1,Tercer Nivel,2
241,GESTIÓN AMBIENTAL,1,Tercer Nivel,2
242,GESTIÓN CULTURAL Y TURISMO,1,Tercer Nivel,2
243,GESTIÓN DE EMPRESAS TURÍSTICAS Y HOTELERAS,1,Tercer Nivel,2
244,GESTIÓN DE RECURSOS HUMANOS,1,Tercer Nivel,2
245,GESTIÓN DE RIESGOS Y EMERGENCIAS,1,Tercer Nivel,2
246,GESTIÓN DE TELECOMUNICACIONES,1,Tercer Nivel,2
247,GESTIÓN DEL TRANSPORTE,9,Tercer Nivel,2
248,GESTIÓN EMPRESARIAL,1,Tercer Nivel,2
249,GESTIÓN EMPRESARIAL INTERNACIONAL,1,Tercer Nivel,2
250,GESTIÓN EMPRESARIAL MENCIÓN FINANZAS Y AUDITORIA,1,Tercer Nivel,2
251,GESTIÓN EMPRESARIAL MENCIÓN MARKETING Y VENTAS,1,Tercer Nivel,2
252,GESTIÓN GRAFICA PUBLICITARIA,3,Tercer Nivel,2
253,GESTIÓN HOTELERA,9,Tercer Nivel,2
254,GESTIÓN HOTELERA Y TURÍSTICA,1,Tercer Nivel,2
255,GESTIÓN PARA EL DESARROLLO LOCAL SOSTENIBLE,5,Tercer Nivel,2
256,GESTIÓN SOCIAL,5,Tercer Nivel,2
257,GESTIÓN SOCIAL Y DESARROLLO,5,Tercer Nivel,2
258,GESTIÓN TECNOLÓGICA,1,Tercer Nivel,2
259,GESTIÓN TURÍSTICA Y HOTELERA,1,Tercer Nivel,2
260,GESTIÓN TURÍSTICA Y MEDIO AMBIENTE,1,Tercer Nivel,2
261,GESTIÓN Y DESARROLLO TURÍSTICO,1,Tercer Nivel,2
262,GESTIÓN Y NEGOCIOS INTERNACIONALES,1,Tercer Nivel,2
263,HISTORIA,3,Tercer Nivel,2
264,HISTORIA DEL ARTE,3,Tercer Nivel,2
265,HISTORIA Y GEOGRAFÍA,6,Tercer Nivel,2
266,HOSPITALIDAD Y HOTELERÍA,9,Tercer Nivel,2
267,HOTELERÍA,9,Tercer Nivel,2
268,HOTELERÍA Y TURISMO,9,Tercer Nivel,2
269,ILUSTRACIÓN Y ANIMACIÓN DIGITAL,3,Tercer Nivel,2
270,IMAGENOLOGÍA,8,Tercer Nivel,2
271,INFORMÁTICA,10,Tercer Nivel,2
272,INGENIERÍA ACUÍCOLA,2,Tercer Nivel,2
273,INGENIERÍA AGRÍCOLA,2,Tercer Nivel,2
274,INGENIERÍA AGRÍCOLA MENCIÓN AGROINDUSTRIAL,2,Tercer Nivel,2
275,INGENIERÍA AGRÍCOLA Y BIOLÓGICA,2,Tercer Nivel,2
276,INGENIERÍA AGROINDUSTRIAL,2,Tercer Nivel,2
277,INGENIERÍA AGROINDUSTRIAL Y DE ALIMENTOS,2,Tercer Nivel,2
278,INGENIERÍA AGRONÓMICA,2,Tercer Nivel,2
279,INGENIERÍA AGROPECUARIA,2,Tercer Nivel,2
280,INGENIERÍA AMBIENTAL,7,Tercer Nivel,2
281,INGENIERÍA AMBIENTAL PREVENCIÓN Y REMEDIACIÓN,9,Tercer Nivel,2
282,INGENIERÍA AMBIENTAL Y MANEJO DE RIESGOS NATURALES,9,Tercer Nivel,2
283,INGENIERÍA AUTOMOTRIZ,7,Tercer Nivel,2
284,INGENIERÍA BIOMOLECULAR Y BIOCOMBUSTIBLES,4,Tercer Nivel,2
285,INGENIERÍA BIOQUÍMICA,7,Tercer Nivel,2
286,INGENIERÍA CIVIL,7,Tercer Nivel,2
287,INGENIERÍA CIVIL Y GERENCIA DE CONSTRUCCIONES,7,Tercer Nivel,2
288,INGENIERÍA COMERCIAL CON MENCIÓN EN ADMINISTRACIÓN DE EMPRESAS,1,Tercer Nivel,2
289,INGENIERÍA DE ALIMENTOS,7,Tercer Nivel,2
290,INGENIERÍA DE LA PRODUCCIÓN,7,Tercer Nivel,2
291,INGENIERÍA DE LA PRODUCCIÓN Y OPERACIONES,7,Tercer Nivel,2
292,INGENIERÍA DE MEDIO AMBIENTE,9,Tercer Nivel,2
293,INGENIERÍA DE MINAS,4,Tercer Nivel,2
294,INGENIERÍA DE PETRÓLEOS,7,Tercer Nivel,2
295,INGENIERÍA DE SISTEMAS,10,Tercer Nivel,2
296,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,10,Tercer Nivel,2
297,INGENIERÍA DE SONIDO Y ACÚSTICA,3,Tercer Nivel,2
298,INGENIERÍA ELÉCTRICA,7,Tercer Nivel,2
299,INGENIERÍA ELECTROMECÁNICA,7,Tercer Nivel,2
300,INGENIERÍA ELECTRÓNICA,7,Tercer Nivel,2
301,INGENIERÍA ELECTRÓNICA EN CONTROL Y AUTOMATISMO,7,Tercer Nivel,2
302,INGENIERÍA ELECTRÓNICA Y REDES DE INFORMACIÓN,10,Tercer Nivel,2
303,INGENIERÍA EN ADMINISTRACIÓN DE BOTICAS Y FARMACIAS,1,Tercer Nivel,2
304,INGENIERÍA EN AGRONEGOCIOS AVALÚOS Y CATASTROS,1,Tercer Nivel,2
305,INGENIERÍA EN ALIMENTOS,7,Tercer Nivel,2
306,INGENIERÍA EN CIENCIAS DEL AGUA,4,Tercer Nivel,2
307,INGENIERÍA EN CIENCIAS ECONÓMICAS Y FINANCIERAS,5,Tercer Nivel,2
308,INGENIERÍA EN COMPUTACIÓN GRAFICA,10,Tercer Nivel,2
309,INGENIERÍA EN COMPUTACIÓN Y REDES,10,Tercer Nivel,2
310,INGENIERÍA EN CONTABILIDAD Y AUDITORÍA-CPA,1,Tercer Nivel,2
311,INGENIERÍA EN DISEÑO INDUSTRIAL,7,Tercer Nivel,2
312,INGENIERÍA EN ELECTRICIDAD,7,Tercer Nivel,2
313,INGENIERÍA EN ELÉCTRICO MECÁNICA,7,Tercer Nivel,2
314,INGENIERÍA EN ELECTROMECÁNICA,7,Tercer Nivel,2
315,INGENIERÍA EN ELECTRÓNICA AUTOMATIZACIÓN Y CONTROL,7,Tercer Nivel,2
316,INGENIERÍA EN ELECTRÓNICA E INSTRUMENTACIÓN,7,Tercer Nivel,2
317,INGENIERÍA EN ELECTRÓNICA Y TELECOMUNICACIONES,7,Tercer Nivel,2
318,INGENIERÍA EN GEOLOGÍA,4,Tercer Nivel,2
319,INGENIERÍA EN GEOLOGÍA AMBIENTAL Y ORDENAMIENTO TERRITORIAL,7,Tercer Nivel,2
320,INGENIERÍA EN GESTIÓN DE PROCESOS,1,Tercer Nivel,2
321,INGENIERÍA EN INDUSTRIAS PECUARIAS,2,Tercer Nivel,2
322,INGENIERÍA EN INFORMÁTICA,10,Tercer Nivel,2
323,INGENIERÍA EN INFORMÁTICA AGROPECUARIA,10,Tercer Nivel,2
324,INGENIERÍA EN INFORMÁTICA Y MULTIMEDIA,10,Tercer Nivel,2
325,INGENIERÍA EN INFORMÁTICA Y SISTEMAS COMPUTACIONALES,10,Tercer Nivel,2
326,INGENIERÍA EN MANEJO Y CONSERVACIÓN DEL AMBIENTE,9,Tercer Nivel,2
327,INGENIERÍA EN MANEJO Y CONSERVACIÓN DEL MEDIO AMBIENTE,9,Tercer Nivel,2
328,INGENIERÍA EN MANTENIMIENTO AUTOMOTRIZ,7,Tercer Nivel,2
329,INGENIERÍA EN MANTENIMIENTO ELÉCTRICO,7,Tercer Nivel,2
330,INGENIERÍA EN MECÁNICA AUTOMOTRIZ,7,Tercer Nivel,2
331,INGENIERÍA EN MECÁNICA NAVAL,7,Tercer Nivel,2
332,INGENIERÍA EN MECATRÓNICA,10,Tercer Nivel,2
333,INGENIERÍA EN MINAS,4,Tercer Nivel,2
334,INGENIERÍA EN NETWORKING,10,Tercer Nivel,2
335,INGENIERÍA EN OPTOMETRÍA,8,Tercer Nivel,2
336,INGENIERÍA EN PETRÓLEO,7,Tercer Nivel,2
337,INGENIERÍA EN PETROQUÍMICA,7,Tercer Nivel,2
338,INGENIERÍA EN PRODUCCIÓN EDUCACIÓN Y EXTENSIÓN AGROPECUARIA,2,Tercer Nivel,2
339,INGENIERÍA EN PRODUCCIÓN INDUSTRIAL,7,Tercer Nivel,2
